"SL. NO.",State,"Const No.",Constituency,"Constituency Type","Total Valid Votes","Winner Name","Social Category",Gender,Party,"Party Symbol","Vote Secured","Runner Up Name","Social Category",Gender,Party,"Party Symbol","Vote Secured",Margin,"Margin %"
63,Bihar,22,Ujiarpur,GEN,1018799,"NITYANAND RAI",GENERAL,MALE,RJD,"Hurricane lamp",455863,"ALOK KUMAR MEHTA",GENERAL,MALE,RJD,"Hurricane lamp",455863,60102,5.9
64,Bihar,23,Samastipur,SC,1061924,SHAMBHAVI,SC,MALE,INC,Hand,392535,"SUNNY HAZARI",SC,MALE,INC,Hand,392535,187251,17.63
65,Bihar,24,Begusarai,GEN,1272291,"GIRIRAJ SINGH",GENERAL,MALE,CPI,"Ears of corn and sickle",567851,"ABDHESH KUMAR ROY",GENERAL,MALE,CPI,"Ears of corn and sickle",567851,81480,6.4
66,Bihar,25,Khagaria,GEN,1030783,"RAJESH VERMA",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",377526,"SANJAY KUMAR",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",377526,161131,15.63
67,Bihar,26,Bhagalpur,GEN,1032278,"AJAY KUMAR MANDAL",GENERAL,MALE,INC,Hand,431163,"AJEET SHARMA",GENERAL,MALE,INC,Hand,431163,104868,10.16
68,Bihar,27,Banka,GEN,979266,"GIRIDHARI YADAV",GENERAL,MALE,RJD,"Hurricane lamp",402834,"JAI PRAKASH NARAYAN YADAV",GENERAL,MALE,RJD,"Hurricane lamp",402834,103844,10.6
69,Bihar,28,Munger,GEN,1117130,"RAJIV RANJAN SINGH ALIAS LALAN SINGH",GENERAL,FEMALE,RJD,"Hurricane lamp",469276,"KUMARI ANITA",GENERAL,FEMALE,RJD,"Hurricane lamp",469276,80870,7.24
70,Bihar,29,Nalanda,GEN,1125166,"KAUSHALENDRA KUMAR",GENERAL,MALE,CPI(ML)(L),"Flag with three stars",390308,"DR. SANDEEP SAURAV",GENERAL,MALE,CPI(ML)(L),"Flag with three stars",390308,169114,15.03
71,Bihar,30,"Patna Sahib",GEN,1069937,"RAVI SHANKAR PRASAD",GENERAL,MALE,INC,Hand,434424,"ANSHUL AVIJIT",GENERAL,MALE,INC,Hand,434424,153846,14.38
72,Bihar,31,Patliputra,GEN,1224493,"MISHA BHARTI",GENERAL,MALE,BJP,Lotus,528109,"RAM KRIPAL YADAV",GENERAL,MALE,BJP,Lotus,528109,85174,6.96
73,Bihar,32,Arrah,GEN,1079598,"SUDAMA PRASAD",GENERAL,MALE,BJP,Lotus,469574,"R. K. SINGH",GENERAL,MALE,BJP,Lotus,469574,59808,5.54
