StateName,state_id,DistrictName,DISTRICT_ID,TotalUAM,General,SC,ST,OBC,_CreatedDate
"JAMMU AND KASHMIR",1,RAJAURI,42,285,231,8,36,10,2022-04-01T08:31:02.467
"JAMMU AND KASHMIR",1,SHOPIAN,611,48,34,1,0,13,2022-04-01T08:31:02.467
"JAMMU AND KASHMIR",1,UDHAMPUR,40,133,125,7,0,1,2022-04-01T08:31:02.467
PUDUCHERRY,34,KARAIKAL,601,678,256,46,1,375,2022-04-01T08:31:03.077
PUDUCHERRY,34,MAHE,600,26,6,1,0,19,2022-04-01T08:31:03.077
"ANDHRA PRADESH",28,SRIKAKULAM,522,3802,1053,307,90,2352,2022-04-01T08:30:11.140
"ARUNACHAL PRADESH",12,CHANGLANG,269,36,16,1,14,5,2022-04-01T08:30:12.940
"ARUNACHAL PRADESH",12,"DIBANG VALLEY",267,11,2,2,3,4,2022-04-01T08:30:12.940
ASSAM,18,CACHAR,327,570,415,70,8,77,2022-04-01T08:30:13.143
ASSAM,18,DHEMAJI,653,326,45,16,74,191,2022-04-01T08:30:13.143
ASSAM,18,DIBRUGARH,321,848,472,44,44,288,2022-04-01T08:30:13.143
ASSAM,18,GOALPARA,309,248,203,11,15,19,2022-04-01T08:30:13.143
ASSAM,18,"KAMRUP METRO",319,3036,2360,169,106,401,2022-04-01T08:30:13.143
ASSAM,18,KARIMGANJ,328,308,231,25,1,51,2022-04-01T08:30:13.143
ASSAM,18,UDALGURI,326,167,45,21,64,37,2022-04-01T08:30:13.143
BIHAR,10,AURANGABAD,250,3707,1454,377,112,1764,2022-04-01T08:30:13.457
BIHAR,10,BANKA,239,9804,2513,1067,290,5934,2022-04-01T08:30:13.457
BIHAR,10,BEGUSARAI,236,22466,6027,3989,604,11846,2022-04-01T08:30:13.457
BIHAR,10,MUZAFFARPUR,230,55988,14163,7339,2991,31495,2022-04-01T08:30:13.457
BIHAR,10,SHEOHAR,219,4665,1371,434,175,2685,2022-04-01T08:30:13.457
BIHAR,10,VAISHALI,234,29831,6031,7135,1072,15593,2022-04-01T08:30:13.457
CHHATTISGARH,22,KOREA,366,781,417,34,108,222,2022-04-01T08:30:17.817
CHHATTISGARH,22,MAHASAMUND,377,1538,537,104,122,775,2022-04-01T08:30:17.817
CHHATTISGARH,22,RAIPUR,376,12997,8370,682,164,3781,2022-04-01T08:30:17.817
CHHATTISGARH,22,SUKMA,682,20,15,0,0,5,2022-04-01T08:30:17.817
CHHATTISGARH,22,SURAJPUR,683,649,363,17,80,189,2022-04-01T08:30:17.817
GUJARAT,24,AMRELI,439,1816,1074,145,11,586,2022-04-01T08:30:18.630
