state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
SIKKIM,11,Pakyong,741,0,1962,7,1969
"TAMIL NADU",33,ARIYALUR,610,10,30581,135,30726
"TAMIL NADU",33,Kallakurichi,729,8,35476,139,35623
"TAMIL NADU",33,KANNIYAKUMARI,575,26,99242,594,99862
"TAMIL NADU",33,Mayiladuthurai,735,3,31464,84,31551
"TAMIL NADU",33,PERAMBALUR,581,7,20241,160,20408
"TAMIL NADU",33,Ranipet,731,5,47212,155,47372
"TAMIL NADU",33,THENI,588,26,61273,428,61727
"TAMIL NADU",33,THIRUVARUR,590,4,49541,188,49733
"TAMIL NADU",33,Tirupathur,732,2,53339,120,53461
"TAMIL NADU",33,TIRUPPUR,634,195,184582,3372,188149
"TAMIL NADU",33,VELLORE,595,35,102202,704,102941
"TAMIL NADU",33,VIRUDHUNAGAR,597,64,91186,923,92173
TELANGANA,36,Hanumakonda,686,25,41813,511,42349
TELANGANA,36,MAHABUBNAGAR,512,17,42778,292,43087
TELANGANA,36,Mulugu,720,1,6489,34,6524
TRIPURA,16,"NORTH TRIPURA",270,1,13801,55,13857
"UTTAR PRADESH",9,AGRA,118,141,163568,1834,165543
"UTTAR PRADESH",9,ALIGARH,119,53,97677,857,98587
"UTTAR PRADESH",9,AURAIYA,122,2,21670,126,21798
"UTTAR PRADESH",9,BANDA,128,2,20341,153,20496
"UTTAR PRADESH",9,BAREILLY,130,62,109140,943,110145
"UTTAR PRADESH",9,BASTI,131,14,39594,258,39866
"UTTAR PRADESH",9,CHANDAULI,135,30,33341,264,33635
"UTTAR PRADESH",9,GHAZIABAD,145,281,197851,3384,201516
"UTTAR PRADESH",9,HAPUR,661,35,40149,475,40659
"UTTAR PRADESH",9,JHANSI,153,22,56541,592,57155
"UTTAR PRADESH",9,KASGANJ,633,4,20830,156,20990
"UTTAR PRADESH",9,LUCKNOW,162,221,232196,3088,235505
"UTTAR PRADESH",9,MAHARAJGANJ,164,12,39887,206,40105
"UTTAR PRADESH",9,MAINPURI,166,4,33274,230,33508
"UTTAR PRADESH",9,MATHURA,167,30,94240,743,95013
